Directions: Choose the sentence which makes appropriate use of verbs given in the brackets. I (wish) that you (be) right.	I (wished) that you (had been) right	I (wish) that you (were) right	I (wish) that you (will be) right	I (may wish) that you (were) right	I (wish) that you (were) right
The good book of the hour, then, _____ I do not speak of the bad ones _______ is simply the useful or pleasant talk of some person whom you cannot otherwise converse with, printed for you. Very useful often, telling you what you need to know; very pleasant often; as a sensible friend's present talk would be. These bright accounts of travels; good-humoured and witty discussion; lively or pathetic story telling in the form of novel; firm fact-telling, by the real agents concerned in the events of passing history; all these books of the hour, multiplying among us as education becomes more general, are a peculiar characteristic and possession of the present age. We ought to be entirely thankful for them, and entirely ashamed of ourselves if we make no good use of them. But we make the worst possible use, if we allow them to usurp the place of true books: for, strictly speaking, they are not books at all, but strictly speaking, they are not books at all, but merely letters or newspapers in good print. How, according to the author, is the good book of the hour very useful?	Because it gives the information required by you	Because it is in printed form	Because it gives you pleasure	Because it is in the form of conversation	Because it gives the information required by you
Which of the following statements is not TRUE?	The books of the hour are multiplying	They are peculier characteristic of the present age	They are true scriptures of their writers	We must be thankful for them	They are true scriptures of their writers
How does the writer define the good book of the hour?	The good book of the hour is informative in nature	It is the useful or pleasant talk of someone in print	The good book of the hour is mere communication	The good book of the hours has no permanent value	It is the useful or pleasant talk of someone in print
Which of the following conclusions based on the passage is not TRUE?	There are good books for all time	The good books of the hour are useful as well as pleasant	In the present age books of the hour are multiplying with the expansion of education	True books have been replaced by books of the hour when we make the worst possible use of them	There are good books for all time
'The book of the hour' does not deal with one of the following. Identify.	Travel accounts	Story-telling	Fact-telling	Preservation of knowledge	Preservation of knowledge
Directions: Choose the option which is closest in meaning to the word given in CAPITALS: MODERATE	Not extreme	Compromising	Idealistic	Superficial	Not extreme
Directions: Choose the option which is closest in meaning to the word given in CAPITALS: IMPROPRIETY	State of confusion and chaos	Actions that are legally unsustainable	Unlawful activities	Actions that are morally wrong	Actions that are morally wrong
Directions: Choose the option which is closest in meaning to the word given in CAPITALS: BIZARRE	Imaginary	Non-existent	Extremely pathetic	Very strange or unusual	Very strange or unusual
Directions: Choose the option which is closest in meaning to the word given in CAPITALS: ASSIDUOUS	Anxious	Indifferent to one's surroundings	Working hard and taking great care	Too much worried about one's health	Working hard and taking great care
Directions: Choose the option which is closest in meaning to the word given in CAPITALS: IGNOMINY	State of disorder	Loss of public property	Public shame	Disappointment	Public shame
The correct spelling is:	Perseverance	Persiverance	Persivarance	Perseverence	Perseverance
The correct spelling is:	Haemorhage	Hamorrhage	Haemorrhage	Hemorrhage	Haemorrhage
The correct spelling is:	Accommodate	Acommodate	Accomodate	Accomodete	Accommodate
The correct spelling is:	Eflorescence	Efflorascence	Efflorescence	Efflerescence	Efflorescence
The correct spelling is:	Reminescent	Riminescent	Riminisent	Reminiscent	Reminiscent
Directions: Identify the correct form of verb/phrase out of the given choices so as to complete following sentences: Hardly ______ reached her home when the rain started.	she	had she	did she	she had	had she
Directions: Identify the correct form of verb/phrase out of the given choices so as to complete following sentences: The boss wanted to know ______ done the job.	how I had	that how had I	how would I have	how had I	how I had
Directions: Identify the correct form of verb/phrase out of the given choices so as to complete following sentences I wish I ______ a king.	were	was	am	shall be	were
Directions: Four alternative ways of converting the direct speech into indirect speech are suggested for each of the following sentences. Find out the correct one: 'Don't go near the water, children', she said.	She suggested that the children should not go near the water	She asked the children that they may not go near the water	She urged the children that they might not go near the water	She warned the children not to go near the water	She warned the children not to go near the water
Directions: Four alternative ways of converting the direct speech into indirect speech are suggested for each of the following sentences. Find out the correct one: He said, 'Please, please give me another chance'.	He said politely that he may be given another chance	He begged them to give him another chance	He requested if he can be given another chance	He requested if he could be given another chance	He begged them to give him another chance
"The meaning of the idiom ""a broken reed"" is:"	futile effort	rare	unreliable	a sudden great shock	unreliable
"The masculine gender of ""Goose"" is:"	Drone	Drake	Gander	None of the above	Gander
Which of the following is not correct (with reference to narration)?	In changing direct speech into Indirect speech, a simple present becomes a simple past when the reported verb is in past tense form.	The 'shall' of the future tense is changed into 'should' when the reported verb is in past tense form.	The 'will' of the future tense is changed into 'shall' and 'should' when the reported verb is in past tense form.	The pronouns of the direct speech are changed where necessary.	The 'will' of the future tense is changed into 'shall' and 'should' when the reported verb is in past tense form.
In the formation of nouns from verbs which of the following is not correct?	Abdicate - Abdication	Abdicate - Abduction	Adopt - Adoption	Affect - Affectation	Abdicate - Abduction
Which of the following words has correct spelling?	Rendezvous	Rendau	Rendawoos	None of the above	Rendezvous
Which of the following rules is not correct (with reference to narration)?	When the reporting is, in the principal verb, in the past tense, all present tenses of the direct are changed into the corresponding past tenses.	If the reporting verb is in the present tense, the tenses of the direct speech do not change.	The pronouns of the direct speech are changed where necessary.	Words expressing nearness in time or place never change.	Words expressing nearness in time or place never change.
Which of the following statements is not correct with reference to English grammar?	Case is a modification of the noun to distinguish its relation to other words.	Normative case has no relationship with a finite verb.	Possessive case denotes ownership or possession.	Objective case denotes a direct object of a transitive verb or the indirect object of a preposition.	Normative case has no relationship with a finite verb.
Which of the following statements is not correct?	Numerical adjectives include the cardinal and the ordinal numbers.	Partitive adjectives denote a part of a class or object.	Descriptive adjectives denote quality, kind or condition.	Proper adjectives are non-descriptive adjectives.	Proper adjectives are non-descriptive adjectives.
"In the expression. ""Teaching is a science"". the italicised word is:"	Verbal noun	Abstract noun	Concrete noun	None of the above	Verbal noun
Which statement is not correct with reference to primary auxiliary?	Primary auxiliaries may be used independently as principal verbs (in some cases).	Primary auxiliaries may change according to person, number and gender.	Primary auxiliaries may be used as infinite forms of the verb if 'to' precedes them.	The sole purpose of primary auxiliary is to demonstrate the super segmental feature of expression.	The sole purpose of primary auxiliary is to demonstrate the super segmental feature of expression.
Which of the following is an example of Indirect Personal Pronoun, reflexive?	they	one-another	myself	to-myself	to-myself
Which of the following sentences is grammatically correct?	We rarely see a lion.	We scarcely see a lion.	He played good.	He lives miserly.	We rarely see a lion.
Which of the following is grammatically incorrect?	Write in ink.	He threw the stick into the river.	We went nearby the station.	He was a favourite with his friends.	We went nearby the station.
Which of the following pairs is mismatched?	Simple preposition : after	Compound preposition : off	"Disguised preposition : ""a"" and ""o"""	Participle preposition : in lieu of	Participle preposition : in lieu of
Which of the following expressions is correct?	Yours sincerely	Your' s sincerely	Your sincerely	Your's sincerely	Yours sincerely
Which of the following sentences is grammatically correct?	Everyone should pray God.	He wrote to me.	He wrote me.	He suggested me this.	He wrote to me.
Which of the following pairs is mismatched?	Hamlet : 1601	Twelfth Night : 1601	Cymbeline : 1608	The Tempest : 1611	Cymbeline : 1608
Which of the following is not a title to a play written by William Shakespeare?	Henry VI	Henry VIII	Henry IV	Henry VII	Henry VII
Which of the following statements is incorrect with reference to John Milton?	In 1671, Milton issued his last volume of poetry, which contained 'Paradise Regained' and 'Samson Agonistes'.	'Paradise Regained' is briefer and poorer than 'Paradise Lost'.	'Samson Agonistes', in form, has no unity of time, place and action.	'Lycidas' has the colour and music of the best spenserian verse.	'Samson Agonistes', in form, has no unity of time, place and action.
In which of the following the adjective is not followed by correct preposition?	Careful of dress	Annoyed at things	Busy at lessons	Horrified at the sight	Careful of dress
With reference to the use of Punctuation marks, which of the following statements is not correct?	"A ""dash"" is never used to show a sudden change in thought"	"A ""dash"" is used to set off words in apposition or explanation."	"A ""caret"" is put below and aside the word or letter if some letter or word is to be inserted."	"A ""dash"" is used to summarize several subjects all belonging to the same verb."	"A ""dash"" is never used to show a sudden change in thought"
Which of the following idiomatic comparison is not correct?	As bitter as gall	As cheerful as bark	As red as cherry	As silent as star	As cheerful as bark
Which of the following is mismatched with reference to word/antonym sequence?	Acquit : Convict	Grand : Ordinary	Humble : Haughty	Desolate : Percolate	Desolate : Percolate
Which of the following works of William Shakespeare is written in six-line stanza and shows decided sings of immaturity?	The Passionate Pilgrim	The Rape of Lucrece	Venus and Adonis	None of the above	Venus and Adonis
Which of the following plays depicts middle-class provincial life?	The Merry Wives	A Midsummer Night's Dream	Antony and Cleopatra	The Winter's Tale	The Merry Wives
Which of the following work is not written by John Milton?	Of Education	Areopagitica	On Shakespeare	Alma or the Progress of the Mind	Alma or the Progress of the Mind
Which of the following works is not written by John Milton?	On His Blindness	On the Late Massacre of Piedmont	Ode on the Morning of Christ's Nativity	The Passionate Pilgrim	The Passionate Pilgrim
Which of the following statements is true about Milton's sonnet 'On His Blindness'?	'On His Blindness' is a precursor to 'Lycidas'	'On His Blindness' is a curtel sonnet	Milton did not give a title to his sonnet. The title 'On His Blindness' is given by later anthologists	None of the above	Milton did not give a title to his sonnet. The title 'On His Blindness' is given by later anthologists
'An Evening Walk' is written by:	William Wordsworth	William Shakespeare	John Milton	John Galsworthy	William Wordsworth
